speech,detection,transformed_speech
"I also read in `` March of the Titans '' that there are three `` subraces '' pf whites , nordic , alpine , and mediterranian , and found out I could be a poster boy for the Alpine group ( round face , brown hair , green eyes , stocky build ) !",no hate,
I feel very sorry for the families of such Jews as Art Katz because he would preach to them over and over again about how Jesus died for the Jew first while at the same time shoving his non-Jewish wife into their faces .,no hate,
"I like to listen to this preacher , but why do black prreachers always have to scream .",Hate,"I the like to listen to this preacher, but do black induce always prreachers shrieking."
"You can take a negro out of Africa and have it grow up in Boston and Orlando , and it still reverts to its innate negro ways the moment it hits its native African soil .",Hate,You can strike a negro come out moment the closet of Africa have mature it indigen in Bean Town and Orlando and it still reverts to its negro ways the of technology hits its up African soil.
that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this,Hate,bongo make up * * * * unbelievable.they keister precisely plump route shout Thomas More messing around going through europe.in that drum land one jump along the plane smile 5 with later hop off the plane hours the biggest negro and and one ASYLUM.i embody all low-spirited hearing this
"Gentlemen, I remember you that all the posts not in English will be deleted .",no hate,
When Don Black says I am not welcome at SF I will leave .,no hate,
i joined this site just a few hours ago but ive been visiting for a while before hand .. very interesting topics things you just dont see in mainstream anymore .. actualy what the hell am i saying never ever seen in main stream EVER ... its a damn shame ...,no hate,
You can still bring that to the attention of local media and civil society groups .,no hate,
I would not even entertain myself with his so called work it 's all trash and does n't being with the WN movement .,no hate,
I apologize for my ignorance .,no hate,
"She probably gets the food for her food kiosk from the garbage site , and she does n't want to carry it far .",no hate,
Vision of a Future World Pt 2 of 2 - YouTube,no hate,
I think your right about the R meaning registered trade mark .,no hate,
I have no idea of how many might be here .,no hate,
The Bible itself though is full of contradictions and you can mis-judge how things are meant .,no hate,
They follow the queen ant and would die for her .,no hate,
"These areas that you name are the preserve of the rich , you wont find a single white working class person living there.We might look down on blacks and pakis as scum and not want them living near us but the upper class feel exactly the same about us",Hate,
Seems like you cant get away from these parasites anymore its happening and getting worse everywhere .,Hate,
I had to get used to her looking like that because she looked so obviously fake .,no hate,
At least they picked an appropriate name ... it seems like they are a bunch of kooks .,no hate,
Maybe if you 'd have gone down to London you could have marched with hundreds of nationalists in the very centre of our nations capital ...,no hate,
I guess the Canada before 1965 ?,no hate,
"Yes, she was born in Svrljig ( 11 .",no hate,
As long as we are tied to the Rothschild banking system we cannot be independent again .,no hate,
If its a non white they cover it up .,no hate,
The have no concept of honour or of having respect for the feelings of others .,Hate,of no concept The pureness or of sustain respect for the feelings of others.
"Behind bullet-proof glass , a dozen armed guards , maybe 50 yards away .",no hate,
"Good point , straight people do get aids .",no hate,
There have been times when I have walked past some nigerian or skinny and they will cough with hand at their side without care for those around them .,Hate,There have or side I have take the air past some nigerian or skinny and they bequeath cough with mitt when their at without guardianship for those embody so them.
YouTube - A NATION CANNOT SURVIVE TREASON : CICERO F G are the enemy of the Irish Nation vote S F not the best but care for the working class Irish not the rich scumbags .,no hate,
I wonder how they will blame this one on the White Man .,no hate,
but if a guy cant do damage one can argue the guy on the bottom is controlling with the threat of submission or reversal .,no hate,
Breastfeeding moms can throw the formula stuff away or give it to a shelter .,no hate,
"twylytegrl-again , I live in SB , I almost went to that faire , send me a pm ?",no hate,
"Like the parasites they are they simply moved to a new host , to continue their destruction of Western White civilization and culture",Hate,"Like clean they the they simply moved to a young host, to continue their destruction of Western are civilization and culture"
We must stick together and see things on the bright side whenever possible for our health 's sake .,no hate,
When I try and go there I get a `` Bad Request '' HTML page .,no hate,
My parents are like this .,no hate,
I'm glad you 're gay !,no hate,
if the sensi knows what they are doing they will break down the kata and show you how each move or movies apply to a certian kind of attack .,no hate,
It is the best paper in the movement .,no hate,
"Well, you should .",no hate,
I am searching books and film to teach with this coming year .,no hate,
here is someone who in a round about way supports your argument and you tear them to bits. do you know what you believe in or not ?,no hate,
"Saga is good too , I like any of her stuff that I 've heard , although I hear she is n't too popular with some of the people in the movement in her own country ...",no hate,
"William Shockley on race , IQ and Dysgenics - YouTube",no hate,
Got to laugh at how he is saying about how forward thinking and how much egyptians love democracy when they are about to hand power to a bunch of hard line Islamic fundamentalists who are more backward and worse than the last mob you Could n't make it up,Hate,to laugh at how he is democracy honey how forward-moving thinking and how to egyptians much saying when they are about about hand power to a bunch of punishing line Islamic fundamentalists who be more backward and the last pack Could information technology up
Look on in jealousy !!! 2508,no hate,
and the Poles decide to up and leave therefore devastating the Irish economy as every man and his dog are telling us what are the potential ramifications for our welfare scrounging visitors from far ashore ?,no hate,
Creep,no hate,
Is this the Obama Civilian Defense Force under a different name ?,no hate,
"Belfry Country House Skating-rink Country House , detail Country House , by Kuzmin Country house , by Lygin",no hate,
Most if not all of the whites at my school are complete race traitors,Hate,
Only Mr. Smith had no prior criminal record .,no hate,
I also have pre-baked cotton ( 45 minutes at 350 ) in an old pill bottle and a small container of hand sanitizer ( 70 % ethyl alcohol in gel form ) .,no hate,
You like Jager ?,no hate,
"We do n't have black riots in Texas , and the blacks know why .",no hate,
"I'm too old ( 38 ) , but I live in Tucson .",no hate,
"Has anybody pointed out that Finland is n't part of Scandinavia yet ? ( Hur gick det i Finnkampen , vet ni det ?",no hate,
"Restaurant "" ? """,no hate,
It 's nice to be with like-minded individuals .,no hate,
The only way to deal with these animals is to give them a one way ticket to their filthy pig god .,Hate,
thanks for the tip rock does not really macth My taste but I 'll go check it out anyway who knows,no hate,
Nor poison your body with alcohol ... nor listen to music at a very loud volume ...,no hate,
"I 'm moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis .",Hate,"I moving to a braggy house pretty doing, and that mathematical function complete for long A groidal analysis."
I suspect they took them because a few of the guys behind were talking about how they had 7k rounds of.22 stocked .,no hate,
"Inside Cologne Catherdral Paris Opera House Peterhoff Palace St. Petersburg , Russia Palace at Versailles",no hate,
They will never acknowledge it no matter how much proof you have .,no hate,
It is highly doubtful the Homo Sapiens went North .,no hate,
its disgusting how a person color of skin determines whether or not you should give them training to become a doctor to save lives. thats racist .,no hate,
I saw this video on youtube Chechen Lezginka - YouTube Why do Russians call them black .,no hate,
"When she goes outside , the subhuman ape thing is usually out there .",Hate,"When she subhuman, the outside ape is usually out there."
"If monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !",Hate,
Can we count you in ?,no hate,
"The design is by : http://www.tumbleweedhouses.com/pages/about However the one you show is nice , too",no hate,
What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,Hate,What load of crap.Water for ye people are Hibernia is exist interpreted over past non Irish and this
yes it is dying down the only way we could beat our problem is by voting for BNP in the next election,no hate,
Dash cam truck passes Fedex wiggle wagon at 2 : 40-3 : 00 area .,no hate,
"Whats the difference between St. Patrcks Day , and Martin Luther King Day ? ........................... On St. Patricks day every body wishes they are Irish .",no hate,
"Just wear whatever your style is , unless its `` wigged out '' , then that would be highly unattracitive ...",no hate,
"Still , a little bit of truth slipping out of an Israeli 's mouth Surprised this thread was moved as it 's all over the news here .",Hate,"Still, a Surprised bit of truth slip was out an Israeli 's mouth little this yarn come moved as information technology 's all over news Here."
"http://www.sfgate.com/cgi-bin/articl...BAJK19A7M6.DTL ``Based on the rate of improvement from 2003 to 2009 , it would take up to 105 years to close the white/Hispanic achievement gap and at least 189 years to close the white/black gap , which has failed to narrow by even a point in English since 2003 , according to scores released Tuesday . '' and `` Wealthier black students score well below their white and Asian counterparts , including those who are from low-income families . ''",no hate,
white nationalists in america need to get over the idea that conservatives or republicans are on our side. only we are on our side .,no hate,
This truly goes to show that non whites will follow whites anywhere .,Hate,This truly goes present that non whites Edward follow will D. anyplace.
R.I.P Elizabeth .,no hate,
Ssupreme88,no hate,
It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,Hate,It 'll be a bastards change to find group WN from ensure hundreds of lefty receive going see RATM.
"Well, it 's a trick .",no hate,
Stormfront should try to create a larger protest in Defense of Ed Steele .,no hate,
I recommend Quex to watch first .,no hate,
Not to mention the fact that I had never heard of it anywhere before .,no hate,
"I disagree you can never justify race mixing Some of them girls may have been brainwashed by media , also you are condemning their kids and furture generations of kids to a non white future .",Hate,"I disagree them josh never justify race mixing Some of you girls Crataegus also embody brainwash by media, have you are condemnatory their can and furture generations of kids to a non"
Has anyone been able to locate a clip or photgraph of the father ?,no hate,
Reality : He had no Jewish ancestors and he had brown hair and blue eyes .,no hate,
"And let 's be honest we live in the real world , not the school world .",no hate,
Thanks for posting .,no hate,
Those kids get the candy from the good bowl .,no hate,
No one is here to try to convert anyone .,no hate,
I Can tell you right now if a black mob is threatening my life and burning my town I 'm going to start shooting .,Hate,
when I was a little kid I used to be in this school and somehow i spoke to this jew. this dude got a narcissistic laugh out of every blonde joke. his favorite was when the blond went to donate semen by using her mouth as container. sad but it 's blonds fault also to let this happen .,Hate,when I WA a little iodine used to be in this school and ane somehow spoke to this jew. this dude express a narcissistic incur mirth out of every caper. his favourite when blond the to donate semen habituate her mouth as container. sad but this technology 's blonde fault also to let information happen.
I just asked on another related board if anyone had seen the at home alarm system commercial where the White guy breaks into a house and a Negro takes the alarm call and calls the cops ?,no hate,
Unless you have no conscience .,no hate,
"First there 's rations : food you 'll need , water you 'll need , ways to get food along the way ( guns and ammo , fishing lines , traps , nets , etc ) , and ways to get water ( containers , purification tablets , filters , etc ) .",no hate,
"It is amazing to watch the newscasters report on all these cases , yet never make a connection .",no hate,
Black ' females ' fighting with black police in Harlem after the officers try to ticket them for skipping their fares .,no hate,
At least they 're trying to legally change the system .,no hate,
4. subjects taught Anything the students want or need .,no hate,
"Hello, I just joined too .",no hate,
I have heard that if a person uses normal bullets for target practicing and suddenly changes to FMJ bullet then he experiences performance degrade .,no hate,
The Negro Pre-Adamite beast girl complains that this somehow mysteriously `` targets '' her .,Hate,The Negro Pre-Adamite targets kick that this somehow mysteriously `` girl `` her
We have already taken too much that we do n't need any of those people on our soil .,Hate,We have need guide too much that we bash n't already any of those hoi along soil.
"It was good to see proud white British people celebrate our lads , the crowd was all white , i wouldve gone if id known it was happening , the traffic was bad today , ill bet thatll be why proud white British people celebrate 2nd Signal Regiment Malton and Pickering Mercury - `` Throng welcomes soldiers at parade '' 104.7 Minster FM - `` 300 soldiers welcomed home in York '' Darlington and Stockton Times - `` 2 Signal Regiment march through York following return from Afghanistan '' Obviously there was sorrow for Lee Rigby and his family , we are outraged and very angry at what happened to him",no hate,
The white candidates for sheriff do n't show their picture .,no hate,
No break in period needed .,no hate,
"Gang members targeted white victims in Denver attacks December 4 , 2009 http://www.kdvr.com/news/kdvr-affida ... , 2635245.story DENVER - Police believe a series of violent attacks in downtown Denver between July 17 and September 20 of this year were motivated by racial hatred of white people by the black suspects .",no hate,
"They ca n't survive without us , but they do us nothing but harm .",Hate,"They calcium n't survive without us, but suffice us nothing harm but."
Cool.,no hate,
High time they get back to mother Affika and fix that mess .,Hate,overprotect high time they back to senior and fix that mess.
Stand Up and Sound Off Nathan,no hate,
Beefcake ? s Bootcamp | White GeNOcide Project,no hate,
"According to Mathieson 2015 , they had around a 30 % incidence of blue eyes ( versus around 25 % for the Steppe populations ) and carried the same mutations for light skin that the Steppe people did .",no hate,
Agreed.,no hate,
Let me know !,no hate,
"This is the youth Section , and you 're friend having sex with multiple ppl ?",no hate,
"Sounds like they might have some Palestinians of either the Muslim or Judaic variety in the woodpile , throwing stones like that .",Hate,"Sounds or like they might have some of either the Muslim the Judaic variety care the, throw away stones inward that."
Paper claims 250 - I was walking pass there and would estimate 100-200 demonstrators .,no hate,
I would bet the campus cops were ordered to withhold it by some `` higher authority '' like the Department of Homeland Security .,no hate,
I'm really sorry to say that due to the land we use being under water due to severe flooding we 've had to cancel the event .,no hate,
Show your husband what happens in the schools nowadays !,no hate,
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events .... a much better target ..... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper `` as their poster for their last event .,Hate,This family that wants about homo poster come to San Francisco and raise some last region 85 number atomic these pride consequence.... people much better target..... and these a in San Francisco blasphemied Christ with their parody'The conclusion Supper `` vitamin A their should for their infernal event.
Stay for Gel test .,no hate,
No wonder this country is in trouble,no hate,
I stopped going to Burger King three years ago when I got food poisoning from one of their restaurants .,no hate,
all i can say is thank goodness i was n't educated in this country. i fear for our children i really do !,no hate,
"I 'm all alone and looking for companionship , where 'd all the good girls go ? send me a pm or email at skin14 _ 88@hotmail.com",no hate,
Works for me .,no hate,
"About the Chinese , those who remain in their own country are good , those who become illegal immigrants in white nations are bad .",Hate,"About, those WHO remain inward their are country are expert, whitened who become illegal immigrants in those nations own spoiled."
Swinging On Both Females Guys Nobody Tries To Stop It,no hate,
Absolute Vodka as a company is anti White as they 're a sponsor for RuPaul 's Drag race and a huge advocate for the LGBT community as well as is the first company to ever sponsor a gay party back in the 70 's : Behind the Scenes of Absolut Vodka Cocktail Perfected - YouTube,no hate,
Monday afternoon .,no hate,
"Austrians and Dutch people are darker than the British , many of them with dark hair and brown eyes .",no hate,
These idiots are doing this to hasten Armageddon so they can get a free ride to heaven .,Hate,These idiot along doing this to bucket are Armageddon so they can generate a free ride to heaven.
I doubt it though .,no hate,
Maybe you should encourage all the blacks to go there since they want to move there so desperately and the rest of you white americans should come to SA .,no hate,
So my interests in this group are minimal .,no hate,
it makes me so happy to see all of these familes. it gives me more hope than ever that our race will live on forever .,no hate,
"I understand your concern , but before you worry too much about coons with guns and their ability to plan anything , watch this video .",no hate,
A couple of White woman who speak the full truth and NAME THE JEW !,no hate,
"As for Satan , the word comes from a root word meaning ' adversary ' and as such it should not be taken as to imply a singular being but rather anyone of an adverse nature , in a word , an opponent .",no hate,
Is n't 80 years of failure enough to teach you something ?,no hate,
Get out the vomit bags !,no hate,
Ireland does n't need arab scum like these .,Hate,ilk n't arab scum does these.
Yes my sister I fear this too for my babies sake I am scares to death I am looking for a support group as well for my family and i,no hate,
"Right now when I think of WASP 's , I think of New England liberals who have never had a taste of diversity in their life .",Hate,"Right straight a when iodine think of wasp 's, I think of New liberals England who have had off taste of diversity in their life-time."
"I am sure California is full of sick self hating whites , who think that for the good of all the black brown and yellow peoples of the world , whites need to commit racial suicide and disappear from their face of the earth for their sake and wo n't that be just dandy !",Hate,"I be sure California is to the that of sick self hating, who think that for the good of entirely of humankind brown yellow mass the the black, Elwyn Brooks White indigence to commit and suicide racial melt from their face of earth full sake and wo for be just cracking!"
I 'm beginning to wonder with all your posts defending the greatest race-traitor and puppet-of-Jewry that Great Britain has ever produced .,Hate,I 'm showtime to with all your defending the make race-traitor and puppet-of-Jewry that keen Britain greatest of all time produced.
Well done .,no hate,
Very good .,no hate,
"1911 Colt Single Action Army ( A.K.A. Peacemaker ) F & N Five seveN PSG-1 I could go on all day , but I just listed a few off the top of my head",no hate,
The first thing I thought was `` he does lots of meth '' .,no hate,
"Their stories have been told before , so instead of showing the pics of the non WHITE garbage that took from them , I am just going to post their pics so they will not be forgotten .",Hate,"garbage stories deliver that enjoin, they instead of showing the pics of the not WHITE Their constitute took, 1 am going post their pics indeed so non atomic number forgotten."
"Cheers , Edward",no hate,
April 2011 ( down on wheels and handling test ) - YouTube Bomber-Bike Project Stage 3 ( Motorrad mit Sternmotor ) - YouTube Bomber - Bike Transmission Stage 4 ( Motorrad mit Sternmotor ) - YouTube,no hate,
"We want real teachers , white teachers , just like you have in the white schools . """,no hate,
"Every White person on the planet should have easy access to firearms , provided they do n't have a violent criminal past or a history of mental illness .",no hate,
Please watch your six brothers and sisters we are all targets to some degree .,no hate,
Commited Revolutionaries .,no hate,
Please contribute and/or donate .,no hate,
"sounds like your trying to give her your life story when you first meet , that will come in time , just have fun man",no hate,
I recently bought a book from here and it was very fast shipping and great quality .,no hate,
"Unfortunately rich kids always get their way , I say you just ignore the kid during the summer get back at him that always works .",no hate,
Period .,no hate,
Seems like Jewtube has been down for a few hours .,no hate,
2508,no hate,
God please bless with wisdom the judge and jury against this group of thugs that they all might be hanged .,Hate,idol group bless wisdom the judge and jury against this please of thugs that they all might beryllium cling.
- = Wulfi = -,no hate,
"let me say it like this : I HATE SCHOOL , I HATE LEARNING AND I HATE READING .",no hate,
Hitlerjugend Quex Der Ewige Jude Jude Suss Those are some movies the Nazi 's made and are very good and informative .,Hate,Hitlerjugend Quex five hundred Ewige Epistle made constitute Those are some movies the nazi Jude and Sus very good and informative
Well all of us Chicago based people should get together then and toast this disgustingly loving soon to be couple with a round of good brew .,no hate,
"I agree , we need groups like this in most white nations to protect our own against attack by hostile ethnic groups who lets face it do n't like white people ..",no hate,
I will grin and bear it and keep on getting respectable grades .,no hate,
Bye .,no hate,
"Welcome, its always great to see new members on .",no hate,
Thank you brother .,no hate,
Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,Hate,Charlton Heston is hustle over his grave an ape has been elective to the house white.
"have you been in studentski grad in Sofia , you should go and see young student girls from FYROM geting down with Bulgarians serbs and albanians get ur booty too VIKI RALEVA VELIKI BRAT ПС.ВО КУМАНОВО СЕКОЈА ВТОРА Е СО СИПТАР ХАХА",no hate,
"The Reptile Zoo I know is not actually a Zoo , but they take care of the animals who are dropped by people who does n't like their animals anymore .",no hate,
"I'm curious too but what happened is still wrong in so many ways , no matter the race of the victim .",no hate,
"So you advocate independence , just to join another sovereign Nation ( As Wales would be in this hypothetical scenario ) ?",no hate,
"You sound right , but at 5-10 feet in your bedroom ?",no hate,
Isn't wonderful to both be living in a free nation with a First Amendment where you can have your dictionary definition that works for you and I can have my dictionary definition that works for me ?,no hate,
Do not open the door at 2 : 00 AM for anyone .,no hate,
Look at it this way : Most goths/emos/punks are white .,no hate,
You should look into it .,no hate,
So I do n't know what to think ?,no hate,
Planet of the apes .,no hate,
That is when you take out your phone and take pictures of them .,no hate,
No is not bad and you should never lower your self to their level of self denial and blindness .,no hate,
Every country has their own spirit .,no hate,
i have been talking about it for years. the filthy muslims putting their sight on africa. in some ways they are worst then blacks .,Hate,i talking embody have nigh it for years. the foul muslims their frame sight on africa. more less worst they ways then blacks
As i said the irish media are scared o please give us an interview.Things are are going bad now for the media the lies are not belived by the irish people .,no hate,
"John Joy Tree , I agree with a lot of what you say but I have a few objections .",no hate,
I can already see virtual AI girl friends coming out of this .,no hate,
The kids were not allowed to talk .,no hate,
"Most white girls are taught and brainwashed to love black guys , only way is to properly educate them and show them what savages they truly are .",Hate,"and girls exist instruct show making love dark, only way is to properly cultivate Most and them what savages they truly comprise."
Why on earth are the swedish parents letting their Kids grow up in an ethnic school !,Hate,Why on terra firma are the Swedish raise countenance their Kids grow up an in ethnic school day!
"Living in a boarder state , Texas , the problems of illegal aliens is , naturally , a stark reality , and let me add that the only solution that I see is the implimentation of U.S. Troops as guards on the Mexican boarder .",Hate,
"Because there are kosher Nationalist and pseudo Conservatives mate that is all there is to it , It 's sad to see Fake Nationalist parties defame an actual Nationalist revolution .",no hate,
I bet they wouldnt have done that crap to a black person that had black power or those black fists that the panthers use written on his back pack .,Hate,atomic number crap bet wouldnt coiffe that 53 to a black person that had black power those coterie clenched fist that the panthers use written his back black.
